timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-04 23:51:37,0,0,23552,23552,0,42
2026-07-04 23:51:42,0,0,23552,23552,0,42
2026-07-04 23:51:47,0,17592186043898,23552,24070,0,41
2026-07-04 23:51:52,0,17592186043898,23552,24070,0,41
2026-07-04 23:51:57,0,17592186043898,23552,24070,0,40
2026-07-04 23:52:02,0,17592186043898,23552,24070,0,40
2026-07-04 23:52:07,0,519,23552,23034,18,41
2026-07-04 23:52:12,0,547,23552,23006,19,41
2026-07-04 23:52:17,0,547,23552,23006,19,41
2026-07-04 23:52:23,0,547,23552,23006,17,41
2026-07-04 23:52:28,0,547,23552,23006,18,41
2026-07-04 23:52:33,0,547,23552,23006,17,41
2026-07-04 23:52:38,0,547,23552,23006,13,41
2026-07-04 23:52:43,0,547,23552,23006,17,41
2026-07-04 23:52:48,0,547,23552,23006,19,41
2026-07-04 23:52:53,0,547,23552,23006,18,41
2026-07-04 23:52:58,0,547,23552,23006,18,41
2026-07-04 23:53:03,0,547,23552,23006,16,41
2026-07-04 23:53:08,0,547,23552,23006,18,41
2026-07-04 23:53:13,0,547,23552,23006,19,41
2026-07-04 23:53:18,0,547,23552,23006,18,41
2026-07-04 23:53:23,0,547,23552,23006,15,41
2026-07-04 23:53:28,0,547,23552,23006,17,41
2026-07-04 23:53:33,0,547,23552,23006,19,41
2026-07-04 23:53:39,0,547,23552,23006,17,41
2026-07-04 23:53:44,0,547,23552,23006,13,41
2026-07-04 23:53:49,0,547,23552,23006,18,41
2026-07-04 23:53:54,0,547,23552,23006,18,41
2026-07-04 23:53:59,0,547,23552,23006,15,41
2026-07-04 23:54:04,0,547,23552,23006,16,41
2026-07-04 23:54:09,0,547,23552,23006,18,41
2026-07-04 23:54:14,0,547,23552,23006,14,41
2026-07-04 23:54:19,0,547,23552,23006,18,41
2026-07-04 23:54:24,0,547,23552,23006,19,41
2026-07-04 23:54:29,0,547,23552,23006,15,41
2026-07-04 23:54:34,0,547,23552,23006,11,41
2026-07-04 23:54:39,0,547,23552,23006,18,41
2026-07-04 23:54:44,0,547,23552,23006,17,41
2026-07-04 23:54:49,0,547,23552,23006,13,41
2026-07-04 23:54:54,0,547,23552,23006,18,41
2026-07-04 23:55:00,0,547,23552,23006,17,41
2026-07-04 23:55:05,0,547,23552,23006,15,41
2026-07-04 23:55:10,0,547,23552,23006,18,41
2026-07-04 23:55:15,0,547,23552,23006,17,41
2026-07-04 23:55:20,0,547,23552,23006,16,41
2026-07-04 23:55:25,0,547,23552,23006,13,41
2026-07-04 23:55:30,0,547,23552,23006,14,41
2026-07-04 23:55:35,0,547,23552,23006,12,41
2026-07-04 23:55:40,0,547,23552,23006,14,41
2026-07-04 23:55:45,0,547,23552,23006,14,41
2026-07-04 23:55:50,0,547,23552,23006,19,41
2026-07-04 23:55:55,0,547,23552,23006,16,41
2026-07-04 23:56:00,0,547,23552,23006,18,41
2026-07-04 23:56:05,0,547,23552,23006,19,41
2026-07-04 23:56:10,0,547,23552,23006,13,41
2026-07-04 23:56:16,0,547,23552,23006,15,41
2026-07-04 23:56:21,0,547,23552,23006,17,41
2026-07-04 23:56:26,0,549,23552,23004,17,41
2026-07-04 23:56:31,0,551,23552,23002,17,41
2026-07-04 23:56:36,0,551,23552,23002,19,41
2026-07-04 23:56:41,0,551,23552,23002,18,41
2026-07-04 23:56:46,0,551,23552,23002,18,41
2026-07-04 23:56:51,0,551,23552,23002,17,41
2026-07-04 23:56:56,0,551,23552,23002,19,41
2026-07-04 23:57:01,0,551,23552,23002,20,41
2026-07-04 23:57:06,0,551,23552,23002,20,41
2026-07-04 23:57:11,0,551,23552,23002,17,41
2026-07-04 23:57:16,0,551,23552,23002,17,41
2026-07-04 23:57:21,0,551,23552,23002,18,41
2026-07-04 23:57:26,0,551,23552,23002,18,41
2026-07-04 23:57:32,0,551,23552,23002,13,41
2026-07-04 23:57:37,0,551,23552,23002,17,41
2026-07-04 23:57:42,0,551,23552,23002,18,41
2026-07-04 23:57:47,0,551,23552,23002,15,41
2026-07-04 23:57:52,0,551,23552,23002,13,41
2026-07-04 23:57:57,0,551,23552,23002,18,41
2026-07-04 23:58:02,0,551,23552,23002,18,41
2026-07-04 23:58:07,0,551,23552,23002,18,41
2026-07-04 23:58:12,0,551,23552,23002,15,41
2026-07-04 23:58:17,0,551,23552,23002,18,41
2026-07-04 23:58:22,0,551,23552,23002,14,41
2026-07-04 23:58:27,0,551,23552,23002,13,41
2026-07-04 23:58:32,0,551,23552,23002,18,41
2026-07-04 23:58:37,0,551,23552,23002,17,41
2026-07-04 23:58:42,0,551,23552,23002,13,41
2026-07-04 23:58:48,0,551,23552,23002,18,41
2026-07-04 23:58:53,0,551,23552,23002,17,41
2026-07-04 23:58:58,0,551,23552,23002,12,41
2026-07-04 23:59:03,0,551,23552,23002,19,41
2026-07-04 23:59:08,0,551,23552,23002,19,41
2026-07-04 23:59:13,0,551,23552,23002,9,41
2026-07-04 23:59:18,0,551,23552,23002,18,41
2026-07-04 23:59:23,0,551,23552,23002,19,41
2026-07-04 23:59:28,0,551,23552,23002,15,41
2026-07-04 23:59:33,0,551,23552,23002,19,41
2026-07-04 23:59:38,0,551,23552,23002,18,41
2026-07-04 23:59:43,0,551,23552,23002,15,41
2026-07-04 23:59:48,0,551,23552,23002,18,41
2026-07-04 23:59:53,0,551,23552,23002,18,41
2026-07-04 23:59:59,0,551,23552,23002,19,41
2026-07-05 00:00:04,0,551,23552,23002,11,41
2026-07-05 00:00:09,0,551,23552,23002,19,41
2026-07-05 00:00:14,0,551,23552,23002,15,41
2026-07-05 00:00:19,0,551,23552,23002,13,41
2026-07-05 00:00:24,0,551,23552,23002,18,41
2026-07-05 00:00:29,0,551,23552,23002,16,41
2026-07-05 00:00:34,0,551,23552,23002,16,41
2026-07-05 00:00:39,0,551,23552,23002,19,41
2026-07-05 00:00:44,0,551,23552,23002,17,41
2026-07-05 00:00:49,0,551,23552,23002,11,40
2026-07-05 00:00:54,0,551,23552,23002,18,41
2026-07-05 00:00:59,0,551,23552,23002,15,40
2026-07-05 00:01:04,0,551,23552,23002,13,40
2026-07-05 00:01:09,0,551,23552,23002,19,40
