timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-05 14:44:23,0,0,23552,23552,0,42
2026-07-05 14:44:28,0,17592186043898,23552,24070,1,42
2026-07-05 14:44:33,0,17592186043898,23552,24070,0,41
2026-07-05 14:44:38,0,17592186043898,23552,24070,0,41
2026-07-05 14:44:43,0,17592186043898,23552,24070,0,40
2026-07-05 14:44:48,0,17592186043898,23552,24070,0,40
2026-07-05 14:44:53,0,519,23552,23034,19,41
2026-07-05 14:44:58,0,529,23552,23024,18,41
2026-07-05 14:45:03,0,529,23552,23024,18,41
2026-07-05 14:45:08,0,529,23552,23024,17,41
2026-07-05 14:45:13,0,547,23552,23006,18,41
2026-07-05 14:45:18,0,547,23552,23006,15,41
2026-07-05 14:45:23,0,547,23552,23006,17,41
2026-07-05 14:45:28,0,547,23552,23006,18,41
2026-07-05 14:45:33,0,547,23552,23006,16,41
2026-07-05 14:45:38,0,547,23552,23006,18,41
2026-07-05 14:45:44,0,547,23552,23006,18,41
2026-07-05 14:45:49,0,547,23552,23006,6,40
2026-07-05 14:45:54,0,547,23552,23006,12,40
2026-07-05 14:45:59,0,547,23552,23006,19,40
2026-07-05 14:46:04,0,547,23552,23006,18,40
2026-07-05 14:46:09,0,547,23552,23006,18,40
2026-07-05 14:46:14,0,547,23552,23006,17,40
2026-07-05 14:46:19,0,547,23552,23006,17,40
2026-07-05 14:46:24,0,547,23552,23006,18,40
2026-07-05 14:46:29,0,547,23552,23006,17,40
2026-07-05 14:46:34,0,547,23552,23006,17,40
2026-07-05 14:46:39,0,549,23552,23004,14,40
2026-07-05 14:46:44,0,549,23552,23004,15,40
2026-07-05 14:46:49,0,549,23552,23004,19,40
2026-07-05 14:46:54,0,549,23552,23004,16,40
2026-07-05 14:46:59,0,549,23552,23004,18,40
2026-07-05 14:47:04,0,549,23552,23004,18,40
2026-07-05 14:47:10,0,549,23552,23004,19,40
2026-07-05 14:47:15,0,549,23552,23004,19,40
2026-07-05 14:47:20,0,549,23552,23004,16,40
2026-07-05 14:47:25,0,549,23552,23004,15,40
2026-07-05 14:47:30,0,549,23552,23004,17,40
2026-07-05 14:47:35,0,549,23552,23004,17,41
2026-07-05 14:47:40,0,549,23552,23004,16,41
2026-07-05 14:47:45,0,549,23552,23004,16,41
2026-07-05 14:47:50,0,549,23552,23004,19,41
2026-07-05 14:47:55,0,549,23552,23004,19,41
2026-07-05 14:48:00,0,549,23552,23004,19,41
2026-07-05 14:48:05,0,549,23552,23004,18,41
2026-07-05 14:48:10,0,549,23552,23004,18,41
2026-07-05 14:48:15,0,549,23552,23004,19,41
2026-07-05 14:48:20,0,549,23552,23004,19,41
2026-07-05 14:48:26,0,549,23552,23004,19,41
2026-07-05 14:48:31,0,549,23552,23004,19,41
2026-07-05 14:48:36,0,549,23552,23004,19,41
2026-07-05 14:48:41,0,549,23552,23004,17,41
2026-07-05 14:48:46,0,549,23552,23004,11,41
2026-07-05 14:48:51,0,549,23552,23004,14,41
2026-07-05 14:48:56,0,549,23552,23004,15,41
2026-07-05 14:49:01,0,549,23552,23004,18,41
2026-07-05 14:49:06,0,549,23552,23004,18,41
