timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-03 13:00:51,0,0,23552,23552,0,43
2026-07-03 13:00:57,0,17592186043898,23552,24070,0,43
2026-07-03 13:01:02,0,17592186043898,23552,24070,0,42
2026-07-03 13:01:07,0,17592186043898,23552,24070,0,42
2026-07-03 13:01:12,0,17592186043898,23552,24070,0,42
2026-07-03 13:01:17,0,1358,23552,22194,0,42
2026-07-03 13:01:22,0,1481,23552,22072,0,42
2026-07-03 13:01:27,0,963,23552,22590,17,42
2026-07-03 13:01:32,0,963,23552,22590,16,42
2026-07-03 13:01:37,0,963,23552,22590,14,42
2026-07-03 13:01:42,0,963,23552,22590,14,42
2026-07-03 13:01:47,0,963,23552,22590,14,42
2026-07-03 13:01:52,0,963,23552,22590,14,42
2026-07-03 13:01:57,0,963,23552,22590,17,42
2026-07-03 13:02:03,0,963,23552,22590,14,42
2026-07-03 13:02:08,0,963,23552,22590,19,42
2026-07-03 13:02:13,0,963,23552,22590,22,42
2026-07-03 13:02:18,0,963,23552,22590,20,42
2026-07-03 13:02:23,0,963,23552,22590,18,42
2026-07-03 13:02:28,0,963,23552,22590,18,42
2026-07-03 13:02:33,0,963,23552,22590,21,42
2026-07-03 13:02:38,0,963,23552,22590,22,42
2026-07-03 13:02:43,0,963,23552,22590,16,42
2026-07-03 13:02:48,0,963,23552,22590,17,42
2026-07-03 13:02:53,0,963,23552,22590,14,42
2026-07-03 13:02:58,0,963,23552,22590,17,42
2026-07-03 13:03:03,0,963,23552,22590,14,42
2026-07-03 13:03:08,0,963,23552,22590,16,42
2026-07-03 13:03:13,0,1261,23552,22292,19,42
2026-07-03 13:03:18,0,1261,23552,22292,19,42
2026-07-03 13:03:23,0,1261,23552,22292,21,42
2026-07-03 13:03:28,0,1261,23552,22292,17,42
2026-07-03 13:03:33,0,1261,23552,22292,19,42
2026-07-03 13:03:39,0,1261,23552,22292,20,42
2026-07-03 13:03:44,0,1261,23552,22292,20,42
2026-07-03 13:03:49,0,1261,23552,22292,8,42
2026-07-03 13:03:54,0,1261,23552,22292,13,42
2026-07-03 13:03:59,0,1261,23552,22292,10,42
2026-07-03 13:04:04,0,1261,23552,22292,12,42
2026-07-03 13:04:09,0,1261,23552,22292,10,42
2026-07-03 13:04:14,0,1261,23552,22292,15,42
2026-07-03 13:04:19,0,1261,23552,22292,16,42
2026-07-03 13:04:24,0,1261,23552,22292,21,42
2026-07-03 13:04:29,0,1261,23552,22292,14,42
2026-07-03 13:04:34,0,1261,23552,22292,21,42
2026-07-03 13:04:39,0,1261,23552,22292,19,42
2026-07-03 13:04:44,0,1261,23552,22292,19,42
2026-07-03 13:04:49,0,1261,23552,22292,22,42
2026-07-03 13:04:54,0,1261,23552,22292,21,42
2026-07-03 13:04:59,0,1261,23552,22292,21,42
2026-07-03 13:05:04,0,1261,23552,22292,20,42
2026-07-03 13:05:10,0,1261,23552,22292,15,42
2026-07-03 13:05:15,0,1261,23552,22292,18,42
2026-07-03 13:05:20,0,1261,23552,22292,17,42
2026-07-03 13:05:25,0,1261,23552,22292,18,42
2026-07-03 13:05:30,0,1261,23552,22292,10,42
2026-07-03 13:05:35,0,1261,23552,22292,12,42
2026-07-03 13:05:40,0,1261,23552,22292,14,42
2026-07-03 13:05:45,0,1261,23552,22292,10,42
2026-07-03 13:05:50,0,1261,23552,22292,22,42
2026-07-03 13:05:55,0,1261,23552,22292,17,42
2026-07-03 13:06:00,0,1261,23552,22292,14,42
2026-07-03 13:06:05,0,1261,23552,22292,16,42
2026-07-03 13:06:10,0,1261,23552,22292,17,42
2026-07-03 13:06:15,0,1261,23552,22292,10,42
2026-07-03 13:06:20,0,1261,23552,22292,12,42
2026-07-03 13:06:25,0,1261,23552,22292,10,42
2026-07-03 13:06:31,0,1261,23552,22292,10,42
2026-07-03 13:06:36,0,1261,23552,22292,13,42
2026-07-03 13:06:41,0,1261,23552,22292,7,42
2026-07-03 13:06:46,0,1261,23552,22292,14,42
2026-07-03 13:06:51,0,1261,23552,22292,15,42
2026-07-03 13:06:56,0,1261,23552,22292,21,42
2026-07-03 13:07:01,0,1261,23552,22292,17,42
2026-07-03 13:07:06,0,1261,23552,22292,23,42
2026-07-03 13:07:11,0,1261,23552,22292,23,42
2026-07-03 13:07:16,0,1261,23552,22292,20,42
2026-07-03 13:07:21,0,1261,23552,22292,17,42
2026-07-03 13:07:26,0,1261,23552,22292,0,42
