timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-05 02:05:53,0,0,23552,23552,0,43
2026-07-05 02:05:58,0,17592186043898,23552,24070,0,43
2026-07-05 02:06:03,0,17592186043898,23552,24070,0,42
2026-07-05 02:06:08,0,17592186043898,23552,24070,0,41
2026-07-05 02:06:13,0,17592186043898,23552,24070,0,41
2026-07-05 02:06:18,0,17592186043898,23552,24070,0,41
2026-07-05 02:06:23,0,519,23552,23034,18,42
2026-07-05 02:06:28,0,547,23552,23006,18,42
2026-07-05 02:06:33,0,547,23552,23006,18,42
2026-07-05 02:06:38,0,547,23552,23006,17,42
2026-07-05 02:06:43,0,547,23552,23006,15,42
2026-07-05 02:06:49,0,547,23552,23006,17,42
2026-07-05 02:06:54,0,547,23552,23006,13,42
2026-07-05 02:06:59,0,547,23552,23006,15,42
2026-07-05 02:07:04,0,547,23552,23006,11,42
2026-07-05 02:07:09,0,547,23552,23006,19,42
2026-07-05 02:07:14,0,547,23552,23006,15,42
2026-07-05 02:07:19,0,547,23552,23006,19,42
2026-07-05 02:07:24,0,547,23552,23006,20,42
2026-07-05 02:07:29,0,547,23552,23006,20,42
2026-07-05 02:07:34,0,547,23552,23006,20,42
2026-07-05 02:07:39,0,547,23552,23006,18,42
2026-07-05 02:07:44,0,547,23552,23006,19,42
2026-07-05 02:07:49,0,547,23552,23006,20,42
2026-07-05 02:07:54,0,547,23552,23006,19,42
2026-07-05 02:07:59,0,547,23552,23006,24,42
2026-07-05 02:08:04,0,547,23552,23006,16,42
2026-07-05 02:08:10,0,547,23552,23006,17,42
2026-07-05 02:08:15,0,547,23552,23006,19,42
2026-07-05 02:08:20,0,547,23552,23006,19,42
2026-07-05 02:08:25,0,547,23552,23006,20,42
2026-07-05 02:08:30,0,547,23552,23006,18,42
2026-07-05 02:08:35,0,547,23552,23006,18,42
2026-07-05 02:08:40,0,547,23552,23006,17,42
2026-07-05 02:08:45,0,547,23552,23006,16,42
2026-07-05 02:08:50,0,547,23552,23006,14,42
2026-07-05 02:08:55,0,547,23552,23006,12,42
2026-07-05 02:09:00,0,547,23552,23006,4,42
2026-07-05 02:09:05,0,547,23552,23006,18,42
2026-07-05 02:09:10,0,547,23552,23006,17,42
2026-07-05 02:09:15,0,547,23552,23006,19,42
2026-07-05 02:09:20,0,547,23552,23006,19,42
2026-07-05 02:09:25,0,547,23552,23006,17,42
2026-07-05 02:09:30,0,547,23552,23006,12,42
2026-07-05 02:09:35,0,547,23552,23006,15,42
2026-07-05 02:09:41,0,547,23552,23006,18,42
2026-07-05 02:09:46,0,547,23552,23006,15,42
2026-07-05 02:09:51,0,547,23552,23006,17,42
2026-07-05 02:09:56,0,547,23552,23006,19,42
2026-07-05 02:10:01,0,547,23552,23006,19,42
2026-07-05 02:10:06,0,547,23552,23006,27,42
2026-07-05 02:10:11,0,547,23552,23006,13,42
2026-07-05 02:10:16,0,547,23552,23006,17,42
2026-07-05 02:10:21,0,547,23552,23006,19,42
2026-07-05 02:10:26,0,547,23552,23006,19,42
2026-07-05 02:10:31,0,547,23552,23006,19,42
2026-07-05 02:10:36,0,547,23552,23006,19,42
2026-07-05 02:10:41,0,547,23552,23006,13,42
2026-07-05 02:10:46,0,547,23552,23006,13,41
2026-07-05 02:10:51,0,547,23552,23006,19,42
2026-07-05 02:10:56,0,549,23552,23004,19,41
2026-07-05 02:11:02,0,549,23552,23004,19,41
2026-07-05 02:11:07,0,549,23552,23004,12,41
2026-07-05 02:11:12,0,549,23552,23004,20,41
2026-07-05 02:11:17,0,549,23552,23004,18,41
2026-07-05 02:11:22,0,549,23552,23004,18,41
2026-07-05 02:11:27,0,549,23552,23004,17,41
2026-07-05 02:11:32,0,549,23552,23004,14,41
2026-07-05 02:11:37,0,549,23552,23004,16,41
2026-07-05 02:11:42,0,549,23552,23004,14,41
2026-07-05 02:11:47,0,549,23552,23004,19,41
2026-07-05 02:11:52,0,549,23552,23004,15,41
2026-07-05 02:11:57,0,549,23552,23004,14,41
2026-07-05 02:12:02,0,549,23552,23004,18,41
2026-07-05 02:12:07,0,549,23552,23004,16,41
2026-07-05 02:12:12,0,549,23552,23004,13,41
2026-07-05 02:12:18,0,549,23552,23004,18,41
2026-07-05 02:12:23,0,549,23552,23004,18,41
2026-07-05 02:12:28,0,549,23552,23004,17,41
2026-07-05 02:12:33,0,549,23552,23004,13,41
2026-07-05 02:12:38,0,549,23552,23004,18,41
2026-07-05 02:12:43,0,549,23552,23004,14,41
2026-07-05 02:12:48,0,549,23552,23004,15,41
2026-07-05 02:12:53,0,549,23552,23004,33,41
2026-07-05 02:12:58,0,549,23552,23004,17,41
2026-07-05 02:13:03,0,549,23552,23004,18,41
2026-07-05 02:13:08,0,549,23552,23004,15,41
2026-07-05 02:13:13,0,549,23552,23004,13,41
2026-07-05 02:13:18,0,549,23552,23004,19,41
2026-07-05 02:13:23,0,549,23552,23004,19,41
2026-07-05 02:13:28,0,549,23552,23004,19,41
2026-07-05 02:13:34,0,549,23552,23004,17,41
2026-07-05 02:13:39,0,549,23552,23004,15,41
2026-07-05 02:13:44,0,549,23552,23004,15,41
2026-07-05 02:13:49,0,549,23552,23004,18,41
2026-07-05 02:13:54,0,549,23552,23004,19,41
2026-07-05 02:13:59,0,549,23552,23004,11,41
2026-07-05 02:14:04,0,549,23552,23004,19,41
2026-07-05 02:14:09,0,549,23552,23004,16,41
2026-07-05 02:14:14,0,549,23552,23004,18,41
2026-07-05 02:14:19,0,549,23552,23004,19,41
2026-07-05 02:14:24,0,549,23552,23004,19,41
2026-07-05 02:14:29,0,549,23552,23004,19,41
2026-07-05 02:14:34,0,549,23552,23004,19,41
2026-07-05 02:14:39,0,549,23552,23004,19,41
2026-07-05 02:14:44,0,549,23552,23004,19,41
2026-07-05 02:14:50,0,549,23552,23004,17,41
2026-07-05 02:14:55,0,549,23552,23004,19,41
2026-07-05 02:15:00,0,549,23552,23004,18,41
2026-07-05 02:15:05,0,549,23552,23004,15,41
2026-07-05 02:15:10,0,549,23552,23004,13,41
2026-07-05 02:15:15,0,549,23552,23004,18,41
2026-07-05 02:15:20,0,549,23552,23004,17,41
2026-07-05 02:15:25,0,549,23552,23004,15,41
2026-07-05 02:15:30,0,549,23552,23004,19,41
2026-07-05 02:15:35,0,549,23552,23004,18,41
2026-07-05 02:15:40,0,549,23552,23004,19,41
2026-07-05 02:15:45,0,549,23552,23004,15,41
2026-07-05 02:15:50,0,549,23552,23004,19,41
2026-07-05 02:15:55,0,549,23552,23004,17,41
2026-07-05 02:16:01,0,549,23552,23004,16,41
2026-07-05 02:16:06,0,549,23552,23004,15,41
2026-07-05 02:16:11,0,549,23552,23004,15,41
2026-07-05 02:16:16,0,549,23552,23004,15,41
2026-07-05 02:16:21,0,549,23552,23004,18,41
2026-07-05 02:16:26,0,549,23552,23004,19,41
2026-07-05 02:16:31,0,549,23552,23004,16,41
2026-07-05 02:16:36,0,549,23552,23004,15,41
2026-07-05 02:16:41,0,549,23552,23004,15,41
2026-07-05 02:16:46,0,17592186043898,23552,24070,0,41
